effect_allele	p_nominal	beta	OR	log_OR	se	z_score	trait	PMID	used_file	snp_id	chr	pos	MAF
T	0.066	NA	0.97	-0.0304592074847086	0.016568111036762	-1.83842366924778	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7044009	9	120673964	0.377906976744186
T	0.017	NA	0.96	-0.0408219945202552	0.0171038933382179	-2.38670773449225	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2416795	9	120675847	0.331395348837209
G	0.7	NA	0.98	-0.0202027073175195	0.0524309219955898	-0.385320466407568	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs112822411	9	120676955	0.0697674418604651
T	0.12	NA	1.03	0.0295588022415444	0.0190116441032104	1.55477359459685	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2120229	9	120678597	0.476744186046512
A	0.0068	NA	1.05	0.048790164169432	0.0180271439158085	2.70648331190425	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs2120228	9	120678611	0.331395348837209
T	0.0067	NA	1.05	0.048790164169432	0.0179944628918068	2.71139874875882	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984978	9	120679097	0.331395348837209
G	0.0068	NA	1.05	0.048790164169432	0.0180271439158085	2.70648331190425	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10739571	9	120679480	0.331395348837209
G	0.0068	NA	1.05	0.048790164169432	0.0180271439158085	2.70648331190425	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs1886337	9	120681498	0.331395348837209
T	0.0069	NA	0.96	-0.0408219945202552	0.0151101217029074	-2.70163241057154	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs4837790	9	120684047	0.331395348837209
T	0.0066	NA	1.05	0.048790164169432	0.0179614610951422	2.71638058346086	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10760111	9	120684946	0.331395348837209
G	0.0063	NA	0.96	-0.0408219945202552	0.0149435631242806	-2.73174437587289	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10491783	9	120687877	0.331395348837209
T	0.0063	NA	1.05	0.048790164169432	0.0178604427999753	2.73174437587289	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs966396	9	120691003	0.331395348837209
A	0.0063	NA	0.96	-0.0408219945202552	0.0149435631242806	-2.73174437587289	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs966397	9	120691034	0.331395348837209
T	0.0086	NA	0.96	-0.0408219945202552	0.015536092252958	-2.62755871010504	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7866651	9	120695596	0.331395348837209
T	0.14	NA	1.05	0.048790164169432	0.0330603474596463	1.47579102817917	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs62578018	9	120697596	0.0813953488372093
A	0.0047	NA	1.05	0.048790164169432	0.0172592048684791	2.82690683268606	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7849566	9	120698491	0.331395348837209
T	0.18	NA	1.04	0.0392207131532813	0.0292527062496514	1.34075503369022	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984984	9	120701198	0.0813953488372093
A	0.0047	NA	1.05	0.048790164169432	0.0172592048684791	2.82690683268606	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs1411158	9	120702526	0.331395348837209
T	0.18	NA	1.04	0.0392207131532813	0.0292527062496514	1.34075503369022	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs62578020	9	120703241	0.0813953488372093
G	0.0049	NA	1.05	0.048790164169432	0.0173412302655856	2.8135353387388	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs7044226	9	120704050	0.331395348837209
T	0.17	NA	1.04	0.0392207131532813	0.0285822797576258	1.37220380899873	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984986	9	120704104	0.0813953488372093
T	0.0046	NA	0.95	-0.0512932943875506	0.0181006182680077	-2.83378687004355	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10760112	9	120705292	0.331395348837209
T	0.0046	NA	0.95	-0.0512932943875506	0.0181006182680077	-2.83378687004355	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs1411157	9	120706809	0.331395348837209
A	0.0039	NA	1.05	0.048790164169432	0.0169049951931587	2.88613889634095	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs12003646	9	120708343	0.331395348837209
T	0.0039	NA	1.05	0.048790164169432	0.0169049951931587	2.88613889634095	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984990	9	120710262	0.331395348837209
A	0.0032	NA	0.95	-0.0512932943875506	0.0174002829118308	-2.94784255218491	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984992	9	120711138	0.331395348837209
T	0.0033	NA	1.05	0.048790164169432	0.0166048024509446	2.93831644872454	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10760113	9	120711772	0.331395348837209
T	0.0036	NA	1.05	0.048790164169432	0.016759251135563	2.91123772624301	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10760114	9	120711844	0.337209302325581
A	0.0025	NA	0.95	-0.0512932943875506	0.0169657630174831	-3.02334143973915	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10760115	9	120714674	0.331395348837209
A	0.003	NA	0.95	-0.0512932943875506	0.0172836334197681	-2.96773792534178	Rheumatoid_arthritis	24390342	/nfs/team151_data03/PublicData/GWAS_summary_stats/Rheumatoid_arthritis/hg19_gwas_ra_okada_4_19_1.tab	rs10984994	9	120716491	0.343023255813954
